asset1,asset2,pval
CHRW,ODFL,0.7144213625064064
CHRW,OTIS,0.26353421132629734
CHRW,PCAR,0.5977833482398234
CHRW,PH,0.5730249312517776
CHRW,PNR,0.1443736092055078
CHRW,PWR,0.3156585154891819
CHRW,RTX,0.539393635837859
CHRW,RSG,0.13211108884460504
CHRW,RHI,0.5416056065846798
CHRW,ROK,0.46823168632433154
CHRW,ROL,0.5505044588623293
CHRW,ROP,0.3546011959774371
CHRW,SNA,0.664680154703376
CHRW,LUV,0.07388262366308058
CHRW,SWK,0.12437598932859029
CHRW,TDY,0.3919193500439896
CHRW,TXT,0.5769373000637275
CHRW,TT,0.42377324104375413
CHRW,TDG,0.6575357533329974
CHRW,UNP,0.6435146888302347
CHRW,UAL,0.2491925542865155
CHRW,UPS,0.673123033222033
CHRW,URI,0.5062295737041246
CHRW,VRSK,0.6831362073054525
CHRW,GWW,0.012707527399009289
CHRW,WAB,0.5792232411107306
CHRW,WM,0.258029318420721
CHRW,XYL,0.31899565341519187
CARR,CAT,0.8916849297980615
CARR,CTAS,0.9525487894504617
CARR,CPRT,0.14385814728598112
CARR,CSX,0.911737479947552
CARR,CMI,0.4922083466009515
CARR,DE,0.9435258475760945
CARR,DAL,0.7092266563315701
CARR,DOV,0.46365649888950783
CARR,ETN,0.2675232390100166
CARR,EMR,0.31364397778164765
CARR,EFX,0.03131596632750127
CARR,EXPD,0.4043171424490041
CARR,FAST,0.8844744258601783
CARR,FDX,0.7369344810349479
CARR,FTV,0.1538721876231406
CARR,FBHS,0.2562680853442534
CARR,GNRC,0.33905843421117515
CARR,GD,0.4055566546184551
CARR,GE,0.9157246423079131
CARR,HON,0.312458163780826
CARR,HWM,0.2712282655832121
CARR,HII,0.49244391854566544
CARR,IEX,0.6412748141302311
CARR,INFO,0.5601411774509368
CARR,ITW,0.5363778878793175
CARR,IR,0.8441002343032444
CARR,JBHT,0.9434584890248789
CARR,J,0.8473539214078708
CARR,JCI,0.3245664498236907
CARR,KSU,0.5740575856781474
CARR,LHX,0.7058664380640332
CARR,LDOS,0.6743929914488057
CARR,LMT,0.13072082554830505
CARR,MAS,0.6990025881169557
CARR,NLSN,0.5565476956952571
CARR,NSC,0.6788509073482106
CARR,NOC,0.09689204705759552
CARR,ODFL,0.8906073464902694
CARR,OTIS,0.3436432729087012
CARR,PCAR,0.9102383644977077
CARR,PH,0.5367938723623988
CARR,PNR,0.051596357735213386
CARR,PWR,0.6689282657723058
CARR,RTX,0.24142683315270752
CARR,RSG,0.8634335073910331
CARR,RHI,0.8585154547645932
CARR,ROK,0.14448110393354807
CARR,ROL,0.9179833955192314
CARR,ROP,0.37393029172412895
CARR,SNA,0.8852645934506151
CARR,LUV,0.5176663195841578
CARR,SWK,0.41396506601528904
CARR,TDY,0.7664874676531909
CARR,TXT,0.21658845980188485
CARR,TT,0.3499330268079188
CARR,TDG,0.8589105556211248
CARR,UNP,0.9255574068968497
CARR,UAL,0.7021872215936534
CARR,UPS,0.8522805266601201
CARR,URI,0.24579601908433707
CARR,VRSK,0.8649579939779585
CARR,GWW,0.707542736119817
CARR,WAB,0.9450042967123952
CARR,WM,0.9342709848009736
CARR,XYL,0.360985740039119
CAT,CTAS,0.07540046731671583
CAT,CPRT,0.0698404323953245
CAT,CSX,0.07033895743673335
CAT,CMI,0.2277233075560574
CAT,DE,0.041166982350696726
